"サンプル","時間","デコーダー","Ann Row","Ann Class","値",
"12282","12.282 ms","I2C","Address/data","ACK","ACK",
"12285","12.285 ms","I2C","Address/data","Data read","Data read: 00",
"12285","12.285 ms","I2C","Bits","Data/address bit","0",
"12287","12.287 ms","I2C","Bits","Data/address bit","0",
"12290","12.290 ms","I2C","Bits","Data/address bit","0",
"12293","12.293 ms","I2C","Bits","Data/address bit","0",
"12295","12.295 ms","I2C","Bits","Data/address bit","0",
"12298","12.298 ms","I2C","Bits","Data/address bit","0",
"12301","12.301 ms","I2C","Bits","Data/address bit","0",
"12304","12.304 ms","I2C","Bits","Data/address bit","0",
"12307","12.307 ms","I2C","Address/data","ACK","ACK",
"12310","12.310 ms","I2C","Address/data","Data read","Data read: 00",
"12310","12.310 ms","I2C","Bits","Data/address bit","0",
"12312","12.312 ms","I2C","Bits","Data/address bit","0",
"12315","12.315 ms","I2C","Bits","Data/address bit","0",
"12318","12.318 ms","I2C","Bits","Data/address bit","0",
"12320","12.320 ms","I2C","Bits","Data/address bit","0",
"12323","12.323 ms","I2C","Bits","Data/address bit","0",
"12326","12.326 ms","I2C","Bits","Data/address bit","0",
"12328","12.328 ms","I2C","Bits","Data/address bit","0",
"12332","12.332 ms","I2C","Address/data","ACK","ACK",
"12334","12.334 ms","I2C","Address/data","Data read","Data read: 00",
"12334","12.334 ms","I2C","Bits","Data/address bit","0",
"12337","12.337 ms","I2C","Bits","Data/address bit","0",
"12340","12.340 ms","I2C","Bits","Data/address bit","0",
"12342","12.342 ms","I2C","Bits","Data/address bit","0",
"12345","12.345 ms","I2C","Bits","Data/address bit","0",
"12348","12.348 ms","I2C","Bits","Data/address bit","0",
"12350","12.350 ms","I2C","Bits","Data/address bit","0",
"12353","12.353 ms","I2C","Bits","Data/address bit","0",
"12357","12.357 ms","I2C","Address/data","ACK","ACK",
"12360","12.360 ms","I2C","Address/data","Data read","Data read: 00",
"12360","12.360 ms","I2C","Bits","Data/address bit","0",
"12362","12.362 ms","I2C","Bits","Data/address bit","0",
"12365","12.365 ms","I2C","Bits","Data/address bit","0",
"12368","12.368 ms","I2C","Bits","Data/address bit","0",
"12370","12.370 ms","I2C","Bits","Data/address bit","0",
"12373","12.373 ms","I2C","Bits","Data/address bit","0",
"12376","12.376 ms","I2C","Bits","Data/address bit","0",
"12378","12.378 ms","I2C","Bits","Data/address bit","0",
"12389","12.389 ms","I2C","Address/data","ACK","ACK",
"12391","12.391 ms","I2C","Address/data","Data read","Data read: 00",
"12391","12.391 ms","I2C","Bits","Data/address bit","0",
"12394","12.394 ms","I2C","Bits","Data/address bit","0",
"12397","12.397 ms","I2C","Bits","Data/address bit","0",
"12399","12.399 ms","I2C","Bits","Data/address bit","0",
"12402","12.402 ms","I2C","Bits","Data/address bit","0",
"12405","12.405 ms","I2C","Bits","Data/address bit","0",
"12407","12.407 ms","I2C","Bits","Data/address bit","0",
"12410","12.410 ms","I2C","Bits","Data/address bit","0",
"12413","12.413 ms","I2C","Address/data","NACK","NACK",
"12417","12.417 ms","I2C","Address/data","Stop condition","Stop",
"28809","28.809 ms","I2C","Address/data","Start condition","Start",
"28812","28.812 ms","I2C","Bits","Data/address bit","1",
"28812","28.812 ms","I2C","Address/data","Address write","Address write: 70",
"28815","28.815 ms","I2C","Bits","Data/address bit","1",
"28818","28.818 ms","I2C","Bits","Data/address bit","1",
"28820","28.820 ms","I2C","Bits","Data/address bit","0",
"28823","28.823 ms","I2C","Bits","Data/address bit","0",
"28826","28.826 ms","I2C","Bits","Data/address bit","0",
"28828","28.828 ms","I2C","Bits","Data/address bit","0",
"28831","28.831 ms","I2C","Bits","Data/address bit","0",
"28831","28.831 ms","I2C","Address/data","Address write","Write",
"28834","28.834 ms","I2C","Address/data","ACK","ACK",
"28836","28.836 ms","I2C","Address/data","Data write","Data write: 00",
"28836","28.836 ms","I2C","Bits","Data/address bit","0",
"28839","28.839 ms","I2C","Bits","Data/address bit","0",
"28842","28.842 ms","I2C","Bits","Data/address bit","0",
"28844","28.844 ms","I2C","Bits","Data/address bit","0",
"28847","28.847 ms","I2C","Bits","Data/address bit","0",
"28850","28.850 ms","I2C","Bits","Data/address bit","0",
"28852","28.852 ms","I2C","Bits","Data/address bit","0",
"28855","28.855 ms","I2C","Bits","Data/address bit","0",
"28858","28.858 ms","I2C","Address/data","ACK","ACK",
"28860","28.860 ms","I2C","Address/data","Data write","Data write: 10",
"28860","28.860 ms","I2C","Bits","Data/address bit","0",
"28863","28.863 ms","I2C","Bits","Data/address bit","0",
"28866","28.866 ms","I2C","Bits","Data/address bit","0",
"28869","28.869 ms","I2C","Bits","Data/address bit","1",
"28871","28.871 ms","I2C","Bits","Data/address bit","0",
"28874","28.874 ms","I2C","Bits","Data/address bit","0",
"28877","28.877 ms","I2C","Bits","Data/address bit","0",
"28879","28.879 ms","I2C","Bits","Data/address bit","0",
"28882","28.882 ms","I2C","Address/data","ACK","ACK",
"28885","28.885 ms","I2C","Address/data","Data write","Data write: 80",
"28885","28.885 ms","I2C","Bits","Data/address bit","1",
"28887","28.887 ms","I2C","Bits","Data/address bit","0",
"28890","28.890 ms","I2C","Bits","Data/address bit","0",
"28893","28.893 ms","I2C","Bits","Data/address bit","0",
"28895","28.895 ms","I2C","Bits","Data/address bit","0",
"28898","28.898 ms","I2C","Bits","Data/address bit","0",
"28901","28.901 ms","I2C","Bits","Data/address bit","0",
"28903","28.903 ms","I2C","Bits","Data/address bit","0",
"28906","28.906 ms","I2C","Address/data","ACK","ACK",
"28909","28.909 ms","I2C","Address/data","Data write","Data write: C0",
"28909","28.909 ms","I2C","Bits","Data/address bit","1",
"28912","28.912 ms","I2C","Bits","Data/address bit","1",
"28914","28.914 ms","I2C","Bits","Data/address bit","0",
"28917","28.917 ms","I2C","Bits","Data/address bit","0",
"28920","28.920 ms","I2C","Bits","Data/address bit","0",
"28922","28.922 ms","I2C","Bits","Data/address bit","0",
"28925","28.925 ms","I2C","Bits","Data/address bit","0",
"28928","28.928 ms","I2C","Bits","Data/address bit","0",
"28930","28.930 ms","I2C","Address/data","ACK","ACK",
"28938","28.938 ms","I2C","Address/data","Data write","Data write: 00",
"28938","28.938 ms","I2C","Bits","Data/address bit","0",
"28940","28.940 ms","I2C","Bits","Data/address bit","0",
"28943","28.943 ms","I2C","Bits","Data/address bit","0",
"28946","28.946 ms","I2C","Bits","Data/address bit","0",
"28948","28.948 ms","I2C","Bits","Data/address bit","0",
"28951","28.951 ms","I2C","Bits","Data/address bit","0",
"28954","28.954 ms","I2C","Bits","Data/address bit","0",
"28957","28.957 ms","I2C","Bits","Data/address bit","0",
"28959","28.959 ms","I2C","Address/data","ACK","ACK",
"28962","28.962 ms","I2C","Address/data","Data write","Data write: 00",
"28962","28.962 ms","I2C","Bits","Data/address bit","0",
"28965","28.965 ms","I2C","Bits","Data/address bit","0",
"28967","28.967 ms","I2C","Bits","Data/address bit","0",
"28970","28.970 ms","I2C","Bits","Data/address bit","0",
"28973","28.973 ms","I2C","Bits","Data/address bit","0",
"28975","28.975 ms","I2C","Bits","Data/address bit","0",
"28978","28.978 ms","I2C","Bits","Data/address bit","0",
"28981","28.981 ms","I2C","Bits","Data/address bit","0",
"28983","28.983 ms","I2C","Address/data","ACK","ACK",
"28986","28.986 ms","I2C","Address/data","Data write","Data write: 00",
"28986","28.986 ms","I2C","Bits","Data/address bit","0",
"28989","28.989 ms","I2C","Bits","Data/address bit","0",
"28991","28.991 ms","I2C","Bits","Data/address bit","0",
"28994","28.994 ms","I2C","Bits","Data/address bit","0",
"28997","28.997 ms","I2C","Bits","Data/address bit","0",
"29000","29.000 ms","I2C","Bits","Data/address bit","0",
"29002","29.002 ms","I2C","Bits","Data/address bit","0",
"29005","29.005 ms","I2C","Bits","Data/address bit","0",
"29008","29.008 ms","I2C","Address/data","ACK","ACK",
"29010","29.010 ms","I2C","Address/data","Data write","Data write: 00",
"29010","29.010 ms","I2C","Bits","Data/address bit","0",
"29013","29.013 ms","I2C","Bits","Data/address bit","0",
"29016","29.016 ms","I2C","Bits","Data/address bit","0",
"29018","29.018 ms","I2C","Bits","Data/address bit","0",
"29021","29.021 ms","I2C","Bits","Data/address bit","0",
"29024","29.024 ms","I2C","Bits","Data/address bit","0",
"29026","29.026 ms","I2C","Bits","Data/address bit","0",
"29029","29.029 ms","I2C","Bits","Data/address bit","0",
"29032","29.032 ms","I2C","Address/data","ACK","ACK",
"29034","29.034 ms","I2C","Address/data","Data write","Data write: 00",
"29034","29.034 ms","I2C","Bits","Data/address bit","0",
"29037","29.037 ms","I2C","Bits","Data/address bit","0",
"29040","29.040 ms","I2C","Bits","Data/address bit","0",
"29042","29.042 ms","I2C","Bits","Data/address bit","0",
"29045","29.045 ms","I2C","Bits","Data/address bit","0",
"29048","29.048 ms","I2C","Bits","Data/address bit","0",
"29051","29.051 ms","I2C","Bits","Data/address bit","0",
"29053","29.053 ms","I2C","Bits","Data/address bit","0",
"29056","29.056 ms","I2C","Address/data","ACK","ACK",
"29059","29.059 ms","I2C","Address/data","Data write","Data write: 00",
"29059","29.059 ms","I2C","Bits","Data/address bit","0",
"29061","29.061 ms","I2C","Bits","Data/address bit","0",
"29064","29.064 ms","I2C","Bits","Data/address bit","0",
"29067","29.067 ms","I2C","Bits","Data/address bit","0",
"29069","29.069 ms","I2C","Bits","Data/address bit","0",
"29072","29.072 ms","I2C","Bits","Data/address bit","0",
"29075","29.075 ms","I2C","Bits","Data/address bit","0",
"29077","29.077 ms","I2C","Bits","Data/address bit","0",
"29080","29.080 ms","I2C","Address/data","ACK","ACK",
"29083","29.083 ms","I2C","Address/data","Data write","Data write: 00",
"29083","29.083 ms","I2C","Bits","Data/address bit","0",
"29085","29.085 ms","I2C","Bits","Data/address bit","0",
"29088","29.088 ms","I2C","Bits","Data/address bit","0",
"29091","29.091 ms","I2C","Bits","Data/address bit","0",
"29093","29.093 ms","I2C","Bits","Data/address bit","0",
"29096","29.096 ms","I2C","Bits","Data/address bit","0",
"29099","29.099 ms","I2C","Bits","Data/address bit","0",
"29102","29.102 ms","I2C","Bits","Data/address bit","0",
"29104","29.104 ms","I2C","Address/data","ACK","ACK",
"29107","29.107 ms","I2C","Address/data","Data write","Data write: 00",
"29107","29.107 ms","I2C","Bits","Data/address bit","0",
"29110","29.110 ms","I2C","Bits","Data/address bit","0",
"29112","29.112 ms","I2C","Bits","Data/address bit","0",
"29115","29.115 ms","I2C","Bits","Data/address bit","0",
"29118","29.118 ms","I2C","Bits","Data/address bit","0",
"29120","29.120 ms","I2C","Bits","Data/address bit","0",
"29123","29.123 ms","I2C","Bits","Data/address bit","0",
"29126","29.126 ms","I2C","Bits","Data/address bit","0",
"29128","29.128 ms","I2C","Address/data","ACK","ACK",
"29131","29.131 ms","I2C","Address/data","Data write","Data write: 00",
"29131","29.131 ms","I2C","Bits","Data/address bit","0",
"29134","29.134 ms","I2C","Bits","Data/address bit","0",
"29136","29.136 ms","I2C","Bits","Data/address bit","0",
"29139","29.139 ms","I2C","Bits","Data/address bit","0",
"29142","29.142 ms","I2C","Bits","Data/address bit","0",
"29144","29.144 ms","I2C","Bits","Data/address bit","0",
"29147","29.147 ms","I2C","Bits","Data/address bit","0",
"29150","29.150 ms","I2C","Bits","Data/address bit","0",
"29153","29.153 ms","I2C","Address/data","ACK","ACK",
"29161","29.161 ms","I2C","Address/data","Data write","Data write: 00",
"29161","29.161 ms","I2C","Bits","Data/address bit","0",
"29164","29.164 ms","I2C","Bits","Data/address bit","0",
"29167","29.167 ms","I2C","Bits","Data/address bit","0",
"29169","29.169 ms","I2C","Bits","Data/address bit","0",
"29172","29.172 ms","I2C","Bits","Data/address bit","0",
"29175","29.175 ms","I2C","Bits","Data/address bit","0",
"29177","29.177 ms","I2C","Bits","Data/address bit","0",
"29180","29.180 ms","I2C","Bits","Data/address bit","0",
"29183","29.183 ms","I2C","Address/data","ACK","ACK",
"29186","29.186 ms","I2C","Address/data","Data write","Data write: 00",
"29186","29.186 ms","I2C","Bits","Data/address bit","0",
"29188","29.188 ms","I2C","Bits","Data/address bit","0",
"29191","29.191 ms","I2C","Bits","Data/address bit","0",
"29194","29.194 ms","I2C","Bits","Data/address bit","0",
"29196","29.196 ms","I2C","Bits","Data/address bit","0",
"29199","29.199 ms","I2C","Bits","Data/address bit","0",
"29202","29.202 ms","I2C","Bits","Data/address bit","0",
"29204","29.204 ms","I2C","Bits","Data/address bit","0",
"29207","29.207 ms","I2C","Address/data","ACK","ACK",
"29210","29.210 ms","I2C","Address/data","Data write","Data write: 00",
"29210","29.210 ms","I2C","Bits","Data/address bit","0",
"29212","29.212 ms","I2C","Bits","Data/address bit","0",
"29215","29.215 ms","I2C","Bits","Data/address bit","0",
"29218","29.218 ms","I2C","Bits","Data/address bit","0",
"29220","29.220 ms","I2C","Bits","Data/address bit","0",
"29223","29.223 ms","I2C","Bits","Data/address bit","0",
"29226","29.226 ms","I2C","Bits","Data/address bit","0",
"29228","29.228 ms","I2C","Bits","Data/address bit","0",
"29231","29.231 ms","I2C","Address/data","ACK","ACK",
"29234","29.234 ms","I2C","Address/data","Data write","Data write: 00",
"29234","29.234 ms","I2C","Bits","Data/address bit","0",
"29237","29.237 ms","I2C","Bits","Data/address bit","0",
"29239","29.239 ms","I2C","Bits","Data/address bit","0",
"29242","29.242 ms","I2C","Bits","Data/address bit","0",
"29245","29.245 ms","I2C","Bits","Data/address bit","0",
"29247","29.247 ms","I2C","Bits","Data/address bit","0",
"29250","29.250 ms","I2C","Bits","Data/address bit","0",
"29253","29.253 ms","I2C","Bits","Data/address bit","0",
"29255","29.255 ms","I2C","Address/data","ACK","ACK",
"29259","29.259 ms","I2C","Address/data","Stop condition","Stop",
"78397","78.397 ms","I2C","Address/data","Start condition","Start",
"78399","78.399 ms","I2C","Bits","Data/address bit","1",
"78399","78.399 ms","I2C","Address/data","Address write","Address write: 70",
"78402","78.402 ms","I2C","Bits","Data/address bit","1",
"78405","78.405 ms","I2C","Bits","Data/address bit","1",
"78408","78.408 ms","I2C","Bits","Data/address bit","0",
"78410","78.410 ms","I2C","Bits","Data/address bit","0",
"78413","78.413 ms","I2C","Bits","Data/address bit","0",
"78416","78.416 ms","I2C","Bits","Data/address bit","0",
"78418","78.418 ms","I2C","Bits","Data/address bit","0",
"78418","78.418 ms","I2C","Address/data","Address write","Write",
"78421","78.421 ms","I2C","Address/data","ACK","ACK",
"78424","78.424 ms","I2C","Address/data","Data write","Data write: 40",
"78424","78.424 ms","I2C","Bits","Data/address bit","0",
"78426","78.426 ms","I2C","Bits","Data/address bit","1",
"78429","78.429 ms","I2C","Bits","Data/address bit","0",
"78432","78.432 ms","I2C","Bits","Data/address bit","0",
"78434","78.434 ms","I2C","Bits","Data/address bit","0",
"78437","78.437 ms","I2C","Bits","Data/address bit","0",
"78440","78.440 ms","I2C","Bits","Data/address bit","0",
"78442","78.442 ms","I2C","Bits","Data/address bit","0",
"78445","78.445 ms","I2C","Address/data","ACK","ACK",
"78449","78.449 ms","I2C","Address/data","Stop condition","Stop",
"78461","78.461 ms","I2C","Address/data","Start condition","Start",
"78463","78.463 ms","I2C","Bits","Data/address bit","1",
"78463","78.463 ms","I2C","Address/data","Address read","Address read: 70",
"78466","78.466 ms","I2C","Bits","Data/address bit","1",
"78469","78.469 ms","I2C","Bits","Data/address bit","1",
"78472","78.472 ms","I2C","Bits","Data/address bit","0",
"78474","78.474 ms","I2C","Bits","Data/address bit","0",
"78477","78.477 ms","I2C","Bits","Data/address bit","0",
"78480","78.480 ms","I2C","Bits","Data/address bit","0",
"78482","78.482 ms","I2C","Bits","Data/address bit","1",
"78482","78.482 ms","I2C","Address/data","Address read","Read",
"78485","78.485 ms","I2C","Address/data","ACK","ACK",
"78488","78.488 ms","I2C","Address/data","Data read","Data read: 00",
"78488","78.488 ms","I2C","Bits","Data/address bit","0",
"78490","78.490 ms","I2C","Bits","Data/address bit","0",
"78493","78.493 ms","I2C","Bits","Data/address bit","0",
"78496","78.496 ms","I2C","Bits","Data/address bit","0",
"78498","78.498 ms","I2C","Bits","Data/address bit","0",
"78501","78.501 ms","I2C","Bits","Data/address bit","0",
"78504","78.504 ms","I2C","Bits","Data/address bit","0",
"78506","78.506 ms","I2C","Bits","Data/address bit","0",
"78510","78.510 ms","I2C","Address/data","ACK","ACK",
"78512","78.512 ms","I2C","Address/data","Data read","Data read: 00",
"78512","78.512 ms","I2C","Bits","Data/address bit","0",
"78515","78.515 ms","I2C","Bits","Data/address bit","0",
"78518","78.518 ms","I2C","Bits","Data/address bit","0",
"78520","78.520 ms","I2C","Bits","Data/address bit","0",
"78523","78.523 ms","I2C","Bits","Data/address bit","0",
"78526","78.526 ms","I2C","Bits","Data/address bit","0",
"78529","78.529 ms","I2C","Bits","Data/address bit","0",
"78531","78.531 ms","I2C","Bits","Data/address bit","0",
"78535","78.535 ms","I2C","Address/data","ACK","ACK",
"78537","78.537 ms","I2C","Address/data","Data read","Data read: 00",
"78537","78.537 ms","I2C","Bits","Data/address bit","0",
"78540","78.540 ms","I2C","Bits","Data/address bit","0",
"78543","78.543 ms","I2C","Bits","Data/address bit","0",
"78545","78.545 ms","I2C","Bits","Data/address bit","0",
"78548","78.548 ms","I2C","Bits","Data/address bit","0",
"78551","78.551 ms","I2C","Bits","Data/address bit","0",
"78553","78.553 ms","I2C","Bits","Data/address bit","0",
"78556","78.556 ms","I2C","Bits","Data/address bit","0",
"78559","78.559 ms","I2C","Address/data","ACK","ACK",
"78562","78.562 ms","I2C","Address/data","Data read","Data read: 00",
"78562","78.562 ms","I2C","Bits","Data/address bit","0",
"78565","78.565 ms","I2C","Bits","Data/address bit","0",
"78567","78.567 ms","I2C","Bits","Data/address bit","0",
"78570","78.570 ms","I2C","Bits","Data/address bit","0",
"78573","78.573 ms","I2C","Bits","Data/address bit","0",
"78575","78.575 ms","I2C","Bits","Data/address bit","0",
"78578","78.578 ms","I2C","Bits","Data/address bit","0",
"78581","78.581 ms","I2C","Bits","Data/address bit","0",
"78585","78.585 ms","I2C","Address/data","ACK","ACK",
"78587","78.587 ms","I2C","Address/data","Data read","Data read: 00",
"78587","78.587 ms","I2C","Bits","Data/address bit","0",
"78590","78.590 ms","I2C","Bits","Data/address bit","0",
"78593","78.593 ms","I2C","Bits","Data/address bit","0",
"78595","78.595 ms","I2C","Bits","Data/address bit","0",
"78598","78.598 ms","I2C","Bits","Data/address bit","0",
"78601","78.601 ms","I2C","Bits","Data/address bit","0",
"78603","78.603 ms","I2C","Bits","Data/address bit","0",
"78606","78.606 ms","I2C","Bits","Data/address bit","0",
"78616","78.616 ms","I2C","Address/data","ACK","ACK",
"78619","78.619 ms","I2C","Address/data","Data read","Data read: 00",
"78619","78.619 ms","I2C","Bits","Data/address bit","0",
"78622","78.622 ms","I2C","Bits","Data/address bit","0",
"78624","78.624 ms","I2C","Bits","Data/address bit","0",
"78627","78.627 ms","I2C","Bits","Data/address bit","0",
"78630","78.630 ms","I2C","Bits","Data/address bit","0",
"78632","78.632 ms","I2C","Bits","Data/address bit","0",
"78635","78.635 ms","I2C","Bits","Data/address bit","0",
"78638","78.638 ms","I2C","Bits","Data/address bit","0",
"78640","78.640 ms","I2C","Address/data","NACK","NACK",
"78644","78.644 ms","I2C","Address/data","Stop condition","Stop",
"95102","95.102 ms","I2C","Address/data","Start condition","Start",
"95104","95.104 ms","I2C","Bits","Data/address bit","1",
"95104","95.104 ms","I2C","Address/data","Address write","Address write: 70",
"95107","95.107 ms","I2C","Bits","Data/address bit","1",
"95110","95.110 ms","I2C","Bits","Data/address bit","1",
"95112","95.112 ms","I2C","Bits","Data/address bit","0",
"95115","95.115 ms","I2C","Bits","Data/address bit","0",
"95118","95.118 ms","I2C","Bits","Data/address bit","0",
"95120","95.120 ms","I2C","Bits","Data/address bit","0",
"95123","95.123 ms","I2C","Bits","Data/address bit","0",
"95123","95.123 ms","I2C","Address/data","Address write","Write",
"95126","95.126 ms","I2C","Address/data","ACK","ACK",
"95129","95.129 ms","I2C","Address/data","Data write","Data write: 00",
"95129","95.129 ms","I2C","Bits","Data/address bit","0",
"95131","95.131 ms","I2C","Bits","Data/address bit","0",
"95134","95.134 ms","I2C","Bits","Data/address bit","0",
"95137","95.137 ms","I2C","Bits","Data/address bit","0",
"95139","95.139 ms","I2C","Bits","Data/address bit","0",
"95142","95.142 ms","I2C","Bits","Data/address bit","0",
"95145","95.145 ms","I2C","Bits","Data/address bit","0",
"95147","95.147 ms","I2C","Bits","Data/address bit","0",
"95150","95.150 ms","I2C","Address/data","ACK","ACK",
"95153","95.153 ms","I2C","Address/data","Data write","Data write: 10",
"95153","95.153 ms","I2C","Bits","Data/address bit","0",
"95155","95.155 ms","I2C","Bits","Data/address bit","0",
"95158","95.158 ms","I2C","Bits","Data/address bit","0",
"95161","95.161 ms","I2C","Bits","Data/address bit","1",
"95163","95.163 ms","I2C","Bits","Data/address bit","0",
"95166","95.166 ms","I2C","Bits","Data/address bit","0",
"95169","95.169 ms","I2C","Bits","Data/address bit","0",
"95171","95.171 ms","I2C","Bits","Data/address bit","0",
"95174","95.174 ms","I2C","Address/data","ACK","ACK",
"95177","95.177 ms","I2C","Address/data","Data write","Data write: 80",
"95177","95.177 ms","I2C","Bits","Data/address bit","1",
"95180","95.180 ms","I2C","Bits","Data/address bit","0",
"95182","95.182 ms","I2C","Bits","Data/address bit","0",
"95185","95.185 ms","I2C","Bits","Data/address bit","0",
"95188","95.188 ms","I2C","Bits","Data/address bit","0",
"95190","95.190 ms","I2C","Bits","Data/address bit","0",
"95193","95.193 ms","I2C","Bits","Data/address bit","0",
"95196","95.196 ms","I2C","Bits","Data/address bit","0",
"95198","95.198 ms","I2C","Address/data","ACK","ACK",
"95201","95.201 ms","I2C","Address/data","Data write","Data write: C0",
"95201","95.201 ms","I2C","Bits","Data/address bit","1",
"95204","95.204 ms","I2C","Bits","Data/address bit","1",
"95206","95.206 ms","I2C","Bits","Data/address bit","0",
"95209","95.209 ms","I2C","Bits","Data/address bit","0",
"95212","95.212 ms","I2C","Bits","Data/address bit","0",
"95214","95.214 ms","I2C","Bits","Data/address bit","0",
"95217","95.217 ms","I2C","Bits","Data/address bit","0",
"95220","95.220 ms","I2C","Bits","Data/address bit","0",
"95223","95.223 ms","I2C","Address/data","ACK","ACK",
"95230","95.230 ms","I2C","Address/data","Data write","Data write: 00",
"95230","95.230 ms","I2C","Bits","Data/address bit","0",
"95232","95.232 ms","I2C","Bits","Data/address bit","0",
"95235","95.235 ms","I2C","Bits","Data/address bit","0",
"95238","95.238 ms","I2C","Bits","Data/address bit","0",
"95240","95.240 ms","I2C","Bits","Data/address bit","0",
"95243","95.243 ms","I2C","Bits","Data/address bit","0",
"95246","95.246 ms","I2C","Bits","Data/address bit","0",
"95248","95.248 ms","I2C","Bits","Data/address bit","0",
"95251","95.251 ms","I2C","Address/data","ACK","ACK",
"95254","95.254 ms","I2C","Address/data","Data write","Data write: 00",
"95254","95.254 ms","I2C","Bits","Data/address bit","0",
"95256","95.256 ms","I2C","Bits","Data/address bit","0",
"95259","95.259 ms","I2C","Bits","Data/address bit","0",
"95262","95.262 ms","I2C","Bits","Data/address bit","0",
"95264","95.264 ms","I2C","Bits","Data/address bit","0",
"95267","95.267 ms","I2C","Bits","Data/address bit","0",
"95270","95.270 ms","I2C","Bits","Data/address bit","0",
"95272","95.272 ms","I2C","Bits","Data/address bit","0",
"95275","95.275 ms","I2C","Address/data","ACK","ACK",
"95278","95.278 ms","I2C","Address/data","Data write","Data write: 00",
"95278","95.278 ms","I2C","Bits","Data/address bit","0",
"95281","95.281 ms","I2C","Bits","Data/address bit","0",
"95283","95.283 ms","I2C","Bits","Data/address bit","0",
"95286","95.286 ms","I2C","Bits","Data/address bit","0",
"95289","95.289 ms","I2C","Bits","Data/address bit","0",
"95291","95.291 ms","I2C","Bits","Data/address bit","0",
"95294","95.294 ms","I2C","Bits","Data/address bit","0",
"95297","95.297 ms","I2C","Bits","Data/address bit","0",
"95299","95.299 ms","I2C","Address/data","ACK","ACK",
"95302","95.302 ms","I2C","Address/data","Data write","Data write: 00",
"95302","95.302 ms","I2C","Bits","Data/address bit","0",
"95305","95.305 ms","I2C","Bits","Data/address bit","0",
"95307","95.307 ms","I2C","Bits","Data/address bit","0",
"95310","95.310 ms","I2C","Bits","Data/address bit","0",
"95313","95.313 ms","I2C","Bits","Data/address bit","0",
"95315","95.315 ms","I2C","Bits","Data/address bit","0",
"95318","95.318 ms","I2C","Bits","Data/address bit","0",
"95321","95.321 ms","I2C","Bits","Data/address bit","0",
"95324","95.324 ms","I2C","Address/data","ACK","ACK",
"95326","95.326 ms","I2C","Address/data","Data write","Data write: 00",
"95326","95.326 ms","I2C","Bits","Data/address bit","0",
"95329","95.329 ms","I2C","Bits","Data/address bit","0",
"95332","95.332 ms","I2C","Bits","Data/address bit","0",
"95334","95.334 ms","I2C","Bits","Data/address bit","0",
"95337","95.337 ms","I2C","Bits","Data/address bit","0",
"95340","95.340 ms","I2C","Bits","Data/address bit","0",
"95342","95.342 ms","I2C","Bits","Data/address bit","0",
